"","Subgroup","Year","total_person","PM25_person","O3_person"
"78","North America",2017,406500044.011956,229761992.450563,388638156.783327
"79","North America",2018,303861961.621137,247000479.629813,284267166.941504
"80","North America",2019,382643150.056111,229936438.671245,374520925.688249
"81","Oceania",2000,19721411.3568803,18556762.640508,11390675.0390648
"82","Oceania",2001,18055124.7162311,17977462.8797767,9338194.42013816
"83","Oceania",2002,18430536.3533561,17303740.1950232,15499509.6195094
"84","Oceania",2003,19896014.0202846,19760049.231456,15990382.2869681
"85","Oceania",2004,15187548.7230091,14695855.5436053,3581051.58278404
"86","Oceania",2005,6800353.68765235,5244678.72258546,3817223.72749882
"87","Oceania",2006,18506754.8758844,17180003.7690986,14940293.6239526
"88","Oceania",2007,17391211.9825843,12835137.7175843,15631219.2174242
"89","Oceania",2008,7265165.94679885,7112229.59219545,466727.060997545
"90","Oceania",2009,21168847.105561,20127557.5788465,16940444.4462395
"91","Oceania",2010,7874643.96741788,7702033.84247775,730923.525131861
"92","Oceania",2011,8616329.6029303,8297438.55398594,5435054.48232024
"93","Oceania",2012,14514237.0254561,13228534.1659752,11983045.9095836
"94","Oceania",2013,18549359.3496001,15184190.3978952,16904578.184705
"95","Oceania",2014,15776459.2471764,12452373.9049049,13423880.3164561
"96","Oceania",2015,11708612.5122902,9504255.07043317,5136279.95485435
"97","Oceania",2016,13972085.5353803,13335776.4777968,3043763.18267239
"98","Oceania",2017,21970733.9807264,21481536.7086452,3566038.11130044
"99","Oceania",2018,23402434.8439608,23082067.4552011,7975646.15377371
"100","Oceania",2019,30687978.3366433,30638804.9165534,24409104.738708
"101","South America",2000,201048336.14119,199062168.391039,105395753.32735
"102","South America",2001,285418939.002061,283653239.285798,164791130.662722
"103","South America",2002,263083315.920949,262016001.594015,168567020.853574
"104","South America",2003,325068254.942837,324423131.230744,190234233.178179
"105","South America",2004,287617540.381827,286664769.973813,171573150.952841
"106","South America",2005,325994172.638946,322168334.111992,190547356.903309
"107","South America",2006,284531324.183879,284430802.232938,117342596.794652
